,Authors,Quotes,Likes,tags
18,"Roy T. Bennett,","“Don’t let others tell you what you can’t do. Don't let the limitations of others limit your vision. If you can remove your self-doubt and believe in yourself, you can achieve what you never thought possible.”",919,"['achievement,', 'believe,', 'believe-in-yourself,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'self-doubt,', 'vision']"
19,Eleanor Roosevelt,"“You have to accept whatever comes, and the only important thing is that you meet it with the best you have to give.”",884,['motivational']
20,Miguel de Unamuno,“Only he who attempts the absurd is capable of achieving the impossible.”,867,"['inspirational,', 'motivational']"
21,"Steve Maraboli,","“I want to live my life in such a way that when I get out of bed in the morning, the devil says, ""aw shit, he's up!”",852,"['aspirations,', 'devil,', 'goodness,', 'inspirational,', 'life,', 'live,', 'morning,', 'motivational,', 'purpose']"
22,"Sophie Kinsella,","“In the end, you have to choose whether or not to trust someone.”",840,"['human-nature,', 'inspirational,', 'literature,', 'motivational,', 'trust']"
23,"Robert Greene,",“LAW 4,832,"['inspirational,', 'motivational']"
24,"Roy T. Bennett,","“Great leaders create more leaders, not followers.”",824,"['inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'leaders,', 'leadership,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic']"
25,Jim Rohn,“Don't wish it were easier. Wish you were better.”,823,"['hard-work,', 'motivational']"
26,Roy T. Bennett,"“If you don’t give up on something you truly believe in, you will find a way.”",792,"['believe,', 'believe-in-yourself,', 'don-t-give-up,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'never-give-up,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
27,Steve Maraboli,"“One of the most spiritual things you can do is embrace your humanity. Connect with those around you today. Say, ""I love you"", ""I'm sorry"", ""I appreciate you"", ""I'm proud of you""...whatever you're feeling. Send random texts, write a cute note, embrace your truth and share it...cause a smile today for someone else...and give plenty of hugs.”",759,"['action,', 'compassion,', 'humanity,', 'inspirational,', 'kindness,', 'life,', 'living-now,', 'motivational,', 'seize-the-day,', 'spirituality,', 'success']"
28,"Steve Maraboli,",“Don't confuse poor decision-making with destiny. Own your mistakes. It’s ok; we all make them. Learn from them so they can empower you!”,723,"['action,', 'change,', 'destiny,', 'empowerment,', 'inspirational,', 'life,', 'mistakes,', 'motivational,', 'success']"
29,"Roy T. Bennett,",“Discipline Your Mind to Think Positively: Discipline your mind to see the good in every situation and look on the best side of every event.”,624,"['inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
0,"Steve Maraboli,",“How would your life be different if…You stopped allowing other people to dilute or poison your day with their words or opinions? Let today be the day…You stand strong in the truth of your beauty and journey through your day without attachment to the validation of others.”,830,"['choices,', 'inspirational,', 'life,', 'motivational,', 'opinions,', 'self-empowerment,', 'self-esteem,', 'self-love']"
1,"Roy T. Bennett,",“Turn your obstacles into opportunities and your problems into possibilities.”,762,"['inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'obstacle,', 'opportunity,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'possibility,', 'problem']"
2,"Bohdi Sanders,","“Never respond to an angry person with a fiery comeback, even if he deserves it...Don't allow his anger to become your anger.”",743,"['anger,', 'anger-management,', 'ataraxy,', 'bushido,', 'inner-peace,', 'inspirational,', 'life,', 'life-experience,', 'life-lessons,', 'martial-arts,', 'motivational,', 'self-control,', 'serenity,', 'warrior-ethos,', 'warriors,', 'warriorship,', 'wisdom']"
3,Roy T. Bennett,“Be the positive impact on the lives of others.”,736,"['inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
4,"Bruce Lee,","“Don't fear failure. — Not failure, but low aim, is the crime. In great attempts it is glorious even to fail.”",719,"['fear,', 'motivational']"
5,Roy T. Bennett,“Dreams don't work unless you take action. The surest way to make your dreams come true is to live them.”,703,"['action,', 'do,', 'dream,', 'dream-comes-true,', 'dreams,', 'dreams-come-true,', 'dreams-quotes,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-quotes,', 'living,', 'living-life,', 'motivational,', 'motivational-inspirational,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'positivity,', 'take-action,', 'take-actions']"
6,"Steve Maraboli,",“Why Not You?,702,"['happiness,', 'inspirational,', 'inspirational-poem,', 'life,', 'motivational,', 'seize-the-day']"
7,"Roy T. Bennett,",“It takes sunshine and rain to make a rainbow. There would be no rainbows without sunshine and rain.”,680,"['inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'rainbow,', 'rainbows']"
8,"Steve Maraboli,","“Let today be the day you stop being haunted by the ghost of yesterday. Holding a grudge & harboring anger/resentment is poison to the soul. Get even with people...but not those who have hurt us, forget them, instead get even with those who have helped us.”",674,"['action,', 'anger,', 'change,', 'grudges,', 'inspirational,', 'life,', 'living-in-the-present,', 'motivational,', 'poison,', 'resentment,', 'seize-the-day,', 'soul,', 'success']"
9,"Julie Kagawa,",“I cannot let the fear of the past color the future.”,669,['motivational']
10,Roy T. Bennett,“It doesn’t matter how many times you get knocked down. All that matters is you get up one more time than you were knocked down.”,652,"['ability,', 'don-t-give-up,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'leader,', 'leaders,', 'leadership,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'never-give-up,', 'optimism,', 'optimistic,', 'perseverance,', 'persistence,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'vision']"
11,Stephen Hawking,"“Remember to look up at the stars and not down at your feet. Try to make sense of what you see and wonder about what makes the universe exist. Be curious. And however difficult life may seem, there is always something you can do and succeed at.",650,"['courage,', 'curiosity,', 'hopefulness,', 'motivational,', 'perseverance,', 'universe,', 'wonder']"
12,"Steve Maraboli,",“It doesn't matter what you did or where you were...it matters where you are and what you're doing. Get out there! Sing the song in your heart and NEVER let anyone shut you up!!”,642,"['action,', 'change,', 'gratitude,', 'inspiration,', 'life,', 'motivational,', 'purpose,', 'seize-the-day']"
13,Roy T. Bennett,"“Failure is a bend in the road, not the end of the road. Learn from failure and keep moving forward.”",636,"['change,', 'failure,', 'failures,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'keep-going,', 'keep-moving-forward,', 'learn,', 'learning,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'perseverance,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'risk,', 'success']"
14,Bernard Branson,“Rejection is an opportunity for your selection.”,635,"['adult,', 'african-american-romance,', 'angels,', 'baby,', 'bible,', 'bible-study,', 'business,', 'childrens,', 'christian-living,', 'christian-romance,', 'college,', 'creativity,', 'dark-fantasy,', 'dating,', 'economics,', 'education,', 'educational,', 'entrepreneurship,', 'ethics,', 'explicit,', 'faith,', 'family,', 'family-relationships,', 'fantasy-romance,', 'friendship,', 'fun,', 'funny,', 'humorous-romance,', 'jesus,', 'leadership,', 'love-story,', 'management,', 'marriage,', 'meditation,', 'motivational,', 'nonfiction,', 'paranormal-romance,', 'parenting,', 'personal-transformation,', 'relationships,', 'religion,', 'romantic-comedy,', 'romantic-suspense,', 'self-esteem,', 'self-help,', 'sex,', 'sexuality,', 'sexy,', 'spiritual-growth,', 'spirituality,', 'students,', 'success,', 'supernatural,', 'teen,', 'women,', 'young-adult,', 'young-adult-fantasy']"
15,"Roy T. Bennett,","“It takes guts and humility to admit mistakes. Admitting we're wrong is courage, not weakness.”",630,"['courage,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'mistakes,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
16,Denis Waitley,"“Time is an equal opportunity employer. Each human being has exactly the same number of hours and minutes every day. Rich people can't buy more hours. Scientists can't invent new minutes. And you can't save time to spend it on another day. Even so, time is amazingly fair and forgiving. No matter how much time you've wasted in the past, you still have an entire tomorrow.”",601,"['motivational,', 'procrastination,', 'time']"
17,"Roy T. Bennett,","“Don't wait for the right moment to start, start and make each moment right.”",598,"['inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quote,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-philosophy,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'start-up']"
18,Roy T. Bennett,“What you stay focused on will grow.”,590,"['focus,', 'grow,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'leader,', 'leaders,', 'leadership,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'stay-focused']"
19,Roy T. Bennett,“Don’t wait for things to happen. Make them happen.”,588,"['act,', 'action,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
20,"Roy T. Bennett,","“It’s important that what thoughts you are feeding into your mind because your thoughts create your belief and experiences. You have positive thoughts and you have negative ones too. Nurture your mind with positive thoughts: kindness, empathy, compassion, peace, love, joy, humility, generosity, etc. The more you feed your mind with positive thoughts, the more you can attract great things into your life.”",587,"['belief,', 'compassion,', 'empathy,', 'experiences,', 'generosity,', 'humility,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'joy,', 'kindness,', 'life,', 'life-quotes,', 'living,', 'love,', 'mind,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'peace,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'thoughts']"
21,Roy T. Bennett,"“You learn something valuable from all of the significant events and people, but you never touch your true potential until you challenge yourself to go beyond imposed limitations.”",587,"['challenge,', 'growth,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'learn,', 'learning,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'potential']"
22,"John Boyle O'Reilly,",“Be silent and safe — silence never betrays you;,580,"['advice,', 'friends,', 'inspirational,', 'judgement,', 'motivational,', 'poetry,', 'praise,', 'safety,', 'silence,', 'true,', 'trust,', 'work']"
23,"Roy T. Bennett,",“Good people see the good and bring out the best in other people.”,580,"['goodness,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'leader,', 'leadership,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
24,"Roy T. Bennett,",“Gratitude builds a bridge to abundance.”,568,"['inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
25,"Roy T. Bennett,","“Challenge and adversity are meant to help you know who you are. Storms hit your weakness, but unlock your true strength.”",564,"['adversity,', 'challenge,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'potential']"
26,"Steve Maraboli,",“The universe doesn’t give you what you ask for with your thoughts - it gives you what you demand with your actions.”,556,"['actions,', 'change,', 'inspirational,', 'intent,', 'motivational,', 'success,', 'thoughts,', 'universe']"
27,"Steve Maraboli,",“Perfectly Imperfect,543,"['imperfection,', 'inspirational,', 'journey,', 'life,', 'motivational,', 'perfection,', 'relationships,', 'snowflakes']"
28,"Roy T. Bennett,",“Stop doing what is easy. Start doing what is right.”,530,"['act,', 'action,', 'do,', 'doing,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'right,', 'start,', 'startup,', 'truth']"
29,"Roy T. Bennett,","“Changing your outside world cannot make you happy if you are an unhappy person. The real personal change can only happen from the inside out. If you firstly create the change within yourself, you can turn your life around.”",511,"['change,', 'happiness,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
0,"Roy T. Bennett,",“7 Effective Ways to Make Others Feel Important,667,"['care,', 'gratitude,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'leader,', 'leadership,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'listening,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'respect,', 'show-you-care']"
1,"Steve Maraboli,","“My past has not defined me, destroyed me, deterred me, or defeated me; it has only strengthened me.”",607,"['defeat,', 'define,', 'happiness,', 'inspirational,', 'life,', 'motivational,', 'past,', 'strengthen,', 'success']"
2,"Steve Maraboli,","“Plant seeds of happiness, hope, success, and love; it will all come back to you in abundance. This is the law of nature.”",599,"['abundance,', 'action,', 'choice,', 'happiness,', 'hope,', 'inspirational,', 'love,', 'motivational,', 'nature,', 'success']"
3,John Burroughs,"“One resolution I have made, and try always to keep, is this: ‘To rise above little things’.”",595,"['character,', 'hope,', 'motivational']"
4,Roy T. Bennett,"“When things do not go your way, remember that every challenge — every adversity — contains within it the seeds of opportunity and growth.”",587,"['adversity,', 'challenge,', 'growth,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'opportunity,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
5,"Roy T. Bennett,",“The one who falls and gets up is stronger than the one who never tried. Do not fear failure but rather fear not trying.”,586,"['failure,', 'fearless,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quote,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-philosophy,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'never-give-up,', 'optimism,', 'optimistic,', 'persistence,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'strong,', 'trying']"
6,"Roy T. Bennett,","“Make the most of the best and the best of the worst, and keep your standards high. Never settle for anything less than you deserve or are capable of achieving.”",565,"['inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
7,Epictetus,“First say to yourself what you would be;,558,['motivational']
8,"Steve Maraboli,","“You were put on this earth to achieve your greatest self, to live out your purpose, and to do it courageously.”",558,"['fearless,', 'greatness,', 'inspirational,', 'life,', 'motivational,', 'purpose-of-life,', 'self-empowerment,', 'success']"
9,Roy T. Bennett,“Beliefs are choices. First you choose your beliefs. Then your beliefs affect your choices.”,546,"['belief,', 'beliefs,', 'believe,', 'choice,', 'choices,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
10,"Roy T. Bennett,","“You were born to stand out, stop trying to fit in.”",541,"['authentic-living,', 'be-yourself,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quote,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-philosophy,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
11,"Brandon Sanderson,",“,539,"['inspirational,', 'motivational']"
12,"Stephen Richards,",“You are essentially who you create yourself to be and all that occurs in your life is the result of your own making.”,524,"['initiative,', 'mind-power,', 'motivational,', 'new-thought,', 'positive-thinking,', 'self-help,', 'wealth,', 'worthy']"
13,"Steve Maraboli,","“People who lack the clarity, courage, or determination to follow their own dreams will often find ways to discourage yours. When you change for the better, the people around you will be inspired to change also....but only after doing their best to make you stop. Live your truth and don't EVER stop.”",523,"['action,', 'change,', 'determination,', 'empowerment,', 'inspirational,', 'life,', 'motivational,', 'success']"
14,"Steve Maraboli,","“The reason many people in our society are miserable, sick, and highly stressed is because of an unhealthy attachment to things they have no control over.”",518,"['attachment,', 'control,', 'life,', 'miserable,', 'motivational,', 'people,', 'sick,', 'stressed,', 'unhealthy']"
15,"Roy T. Bennett,",“Life is short. Focus on what really matters most. You have to change your priorities over time.”,517,"['inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quote,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-philosophy,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'time']"
16,Tyler Perry,"“It doesn't matter if a million people tell you what you can't do, or if ten million tell you no. If you get one yes from God that's all you need.”",511,"['god,', 'inspirational,', 'motivational']"
17,"Roy T. Bennett,","“Change may not always bring growth, but there is no growth without change.”",503,"['change,', 'growth,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
18,"Roy T. Bennett,",“Great leaders can see the greatness in others when they can’t see it themselves and lead them to their highest potential they don’t even know.”,502,"['greatness,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'leaders,', 'leadership,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'potential']"
19,"Roy T. Bennett,",“Surround Yourself with Positive People Who Believe in Your Dreams,502,"['ambition,', 'dreams,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
20,"Roy T. Bennett,","“Always believe in yourself and always stretch yourself beyond your limits. Your life is worth a lot more than you think because you are capable of accomplishing more than you know. You have more potential than you think, but you will never know your full potential unless you keep challenging yourself and pushing beyond your own self imposed limits.”",491,"['accomplishment,', 'challenge,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'potential']"
21,"Roy T. Bennett,","“When you take control of your attitude, you take control of your life.”",486,"['attitude,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
22,"Roy T. Bennett,",“Stop doing what is easy or popular. Start doing what is right.”,484,"['act,', 'action,', 'do,', 'doing,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'right,', 'start,', 'startup,', 'truth,', 'what-is-easy,', 'what-is-popular,', 'what-is-right']"
23,Roy T. Bennett,"“To learn something new, you need to try new things and not be afraid to be wrong.”",477,"['fearless,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'learning,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'trying']"
24,Roy T. Bennett,“One of the best ways to influence people is to make them feel important.”,466,"['influence,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'leader,', 'leaders,', 'leadership,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational']"
25,"Roy T. Bennett,","“Enthusiasm can help you find the new doors, but it takes passion to open them. If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.”",465,"['authentic-living,', 'conviction,', 'enthusiasm,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'life,', 'life-quotes,', 'living-on-purpose,', 'motivation,', 'motivational,', 'opportunity,', 'optimism,', 'optimistic,', 'passion,', 'positive,', 'positive-affirmation']"
26,Roy T. Bennett,"“The comfort zone is a psychological state in which one feels familiar, safe, at ease, and secure. You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.”",452,"['change,', 'comfort-zone,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
27,"Roy T. Bennett,",“Let go of something old that no longer serves you in order to make room for something new.”,451,"['inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'letting-go,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
28,"Steve Maraboli,","“It's funny how, in this journey of life, even though we may begin at different times and places, our paths cross with others so that we may share our love, compassion, observations, and hope. This is a design of God that I appreciate and cherish.”",443,"['appreciation,', 'compassion,', 'god,', 'hope,', 'inspirational,', 'journey,', 'life,', 'motivational,', 'observation']"
29,"Roy T. Bennett,","“Fear robs you of your freedom to make the right choice in life that can bridge the gap between where you are and where you want to be. On the other side of fear, lies freedom. If you want to grow, you need to be brave and take risks. If you're not uncomfortable, you're not growing.”",398,"['fearless,', 'growth,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quote,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-philosophy,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
0,"Steve Maraboli,","“Want to keep Christ in Christmas? Feed the hungry, clothe the naked, forgive the guilty, welcome the unwanted, care for the ill, love your enemies, and do unto others as you would have done unto you.”",654,"['care,', 'christ,', 'christianity,', 'christmas,', 'clothe,', 'enemies,', 'feed,', 'forgive,', 'golden-rule,', 'guilty,', 'hungry,', 'ill,', 'inspirational,', 'jesus,', 'life,', 'love,', 'motivational,', 'naked,', 'service,', 'unwanted,', 'welcome']"
1,"Steve Maraboli,","“This life is for loving, sharing, learning, smiling, caring, forgiving, laughing, hugging, helping, dancing, wondering, healing, and even more loving. I choose to live life this way. I want to live my life in such a way that when I get out of bed in the morning, the devil says, 'aw shit, he's up!”",556,"['caring,', 'dancing,', 'devil,', 'forgiving,', 'healing,', 'helping,', 'hugging,', 'inspirational,', 'laughing,', 'learning,', 'life,', 'loving,', 'loving-choices,', 'motivational,', 'sharing,', 'smiling,', 'wondering']"
2,"Steve Maraboli,","“You are not a victim. No matter what you have been through, you're still here. You may have been challenged, hurt, betrayed, beaten, and discouraged, but nothing has defeated you. You are still here! You have been delayed but not denied. You are not a victim, you are a victor. You have a history of victory.”",473,"['beaten,', 'betrayed,', 'challenged,', 'defeated,', 'denied,', 'destiny,', 'discouraged,', 'history,', 'hurt,', 'inspirational,', 'motivational,', 'victim']"
3,"Steve Maraboli,",“The right thing to do and the hard thing to do are usually the same.”,472,"['accountability,', 'doing-right,', 'life,', 'motivational,', 'responsibility']"
4,Roy T. Bennett,“Consistency is the true foundation of trust. Either keep your promises or do not make them.”,442,"['consistency,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'keep-your-promises,', 'leader,', 'leaders,', 'leadership,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'trust']"
